,Sentence,Entity1,Entity2,relation
509,"We 're more worried in Manhattan , to tell you the truth , '' said Erik Hartog , a 35-year-old banker from New York visiting Westminster Abbey in London .",New York,Westminster,visiting
510,"INTERNATIONAL A3-13 Fugitive Al Qaeda Leader Killed by British Solders A senior operative of Al Qaeda who engineered an escape from a high security American prison in Afghanistan was killed in a pre-dawn raid by British soldiers in the city of Basra in southern Iraq , an American official and an Iraqi official said .",Qaeda Leader,British,Killed
511,"In a somewhat similar vein , Senator Sam Brownback , Republican of Kansas , asked Judge Roberts whether the Constitution authorizes Congress to limit the Supreme Court 's jurisdiction to hear certain sorts of cases .",Constitution,Congress,authorizes
512,"This story is depressingly familiar -- we 've seen Liberia 's marauding child soldiers ; Sudan 's atrocities against black African villagers in Darfur ; or Rwanda 's tribal massacres , twice reimagined in recent films , '' Hotel Rwanda '' and HBO 's '' Sometimes in April . ''",ve,Liberia,seen
513,Prime Minister Ehud Olmert of Israel said Sunday that the military would not halt its offensive in the northern Gaza Strip until Palestinian rocket fire toward Israel was significantly reduced .,Israel,Sunday,said
514,A spokeswoman for Attorney General Bill Lockyer said Mr. Lockyer sent memorandums to law enforcement agencies throughout the state reminding them '' that California law still stands . '',Bill Lockyer,Mr.,said
515,Israel said Wednesday that it was breaking off negotiations on a tourism project with the evangelical leader Pat Robertson in response to his remarks suggesting that Prime Minister Ariel Sharon 's stroke was divine retribution . '',Israel,Wednesday,said
516,"After last week , when Attorney General Eliot Spitzer of New York got Sony BMG Music Entertainment to pay a fine of $ 10 million for improper promotional practices , listeners may be especially skeptical of songs that monopolize radio the way Ms. Carey 's song has .",New York,Sony,got
517,In a raw interview transcript posted on MSNBC 's Web site last week -- and quickly seized on by John Aravosis of AmericaBlog -- the NBC News foreign affairs correspondent Andrea Mitchell asked Mr. Risen if he knew whether the CNN correspondent Christiane Amanpour might have been wiretapped .,Andrea Mitchell,Mr.,asked
518,China invited Mr. Li as part of its effort to court Taiwan notables who are steadfastly opposed to President Chen Shui-bian 's efforts to move the island toward formal independence .,China,Mr.,invited
519,"IRVING KRISTOL snubbed New York when he left for Washington in 1988 , pronouncing Manhattan no longer the '' nation 's intellectual center '' as he packed off his ideological enterprise .",IRVING KRISTOL,New,snubbed
520,"Mr. Assad said Detlev Mehlis , the German prosecutor who leads the inquiry , had refused Syria 's invitation to come to Damascus to discuss Syria 's cooperation .",Mr. Assad,Detlev,said
521,"Israel wants Lebanon to pay an onerous price for its ambiguity on Hezbollah : it has imposed an air and sea blockade and is launching air attacks well into Lebanon , including several on the Beirut airport .",Israel,Lebanon,wants
522,"Mr. Bujones joined Ballet Theater in 1972 , and two years later he became the first American to win the gold medal at the International Ballet Competition in Varna , Bulgaria , a prestigious event until then dominated by Soviet dancers .",Mr. Bujones,Ballet,joined
523,"Charges Against Soldier Dropped BAGHDAD , Iraq , July 23 -LRB- AP -RRB- -- The United States military has dismissed all charges against a National Guardsman accused of killing an unarmed Iraqi civilian near Ramadi , finding that the soldier had reason to believe the man had a weapon .",Soldier,BAGHDAD,Dropped
524,"Born in Columbus , Ohio , on Feb. 24 , 1930 , Ms. Diener attended Sarah Lawrence College in Bronxville , N.Y. , where she majored in psychology and moonlighted as a stage actress .",Ms. Diener,Sarah,attended
525,"BUSINESS DECISION On SIMPSON When News Corporation killed Judith Regan 's multimedia introduction of her O. J. Simpson '' hypothetical confession , '' Rupert Murdoch called the project '' ill conceived . ''",News Corporation,Judith,killed
526,"We did not approach them because this is a supplier-ship , versus a sponsorship , '' Hickey said Wednesday from the company 's headquarters in Columbus , Ohio .",Hickey,Wednesday,said
527,Gov. Mitt Romney said Wednesday evening that the four were believed to have been '' dropped off '' in New York and that they might have been heading to Boston but that none of them were believed to be in Massachusetts as of Wednesday evening .,Mitt Romney,Wednesday,said
528,"Their series in Asia has been controversial , especially after Bahrain left Tashkent with a 1-1 tie Saturday .",Bahrain,Tashkent,left
529,Another blow came in the mid-1960 's when President Milton Obote outlawed Uganda 's traditional kingdoms .,Milton Obote,Uganda,outlawed
530,"Prada acquired Helmut Lang , which has flagship stores in New York , Paris , Vienna and Milan and also sells its products in high-end department stores , from its Austrian-born designer and namesake , who remained with the company until January .",Prada,Helmut,acquired
531,"Particular dread set in March 1 , when Italy routed Germany , 4-1 , in an exhibition in Florence , Italy .",Italy,Germany,routed
532,"The destinations in France include Biarritz , Bordeaux , Marseille , Montpellier , Nantes , Strasbourg , Lyon , Nice and Toulouse .",France,Biarritz,include
533,"Gilad Shalit , on June 25 , Israel arrested Hamas legislators and cabinet ministers in the West Bank .",Israel,Hamas,arrested
534,"When the Pacific island nation of Nauru temporarily switched relations to mainland China in July 2002 , President Chen Shui-bian of Taiwan infuriated Beijing by suggesting in two public remarks that Taiwan was moving toward greater political separation from the mainland .",Taiwan,Beijing,infuriated
535,"A10 Bush Urges Democracy in China President Bush planned to open his tour of Asia urging China 's leaders to follow the models of Japan , South Korea and Taiwan in the path toward installing democracy .",A10 Bush,Democracy,Urges
536,"Correction : October 14 , 2006 , Saturday An article on Thursday about a poll that showed Senator Joseph I. Lieberman of Connecticut leading Ned Lamont , his Democratic challenger , misstated the amount of money that Mr. Lamont has contributed to his own campaign .",Connecticut,Ned,leading
537,The American command in Iraq reported Saturday that a soldier died Friday in the Baghdad area from a gunshot wound .,Iraq,Saturday,reported
538,"After India detonated a nuclear weapon in 1998 , the United States penalized New Delhi .",United States,New,penalized
539,Many of them lived in Iran in exile when Saddam Hussein ruled Iraq .,Saddam Hussein,Iraq,ruled
540,"Only a month after Iran defied Europe and the International Atomic Energy Agency and declared it would restart what it termed research on enrichment , it has put 10 centrifuges into operation at the vast uranium enrichment plant at Natanz , according to the officials .",Iran,Europe,defied
541,"It 's a start , '' said the alliance 's secretary general , Jaap de Hoop Scheffer , repeating that he expected all 26 members to pledge contributions by the time President Bush visits Brussels on Feb. 22 .",President Bush,Brussels,visits
542,Italy 's slalom ace Giorgio Rocca won Thursday 's slalom in 1 minute 35.98 seconds .,Giorgio Rocca,Thursday,won
543,"He moved to a Hoboken apartment building that was also home to the Giants quarterbacks Eli Manning and Jesse Palmer , who also starred in the reality series '' The Bachelor . ''",Giants,Eli,quarterbacks
544,"The New York Mini 10K in Central Park added Colleen De Reuck of Boulder , Colo. ; Lornah Kiplagat of the Netherlands ; and Benita Johnson of Australia .",Central Park,Colleen,added
545,"Relations between the first President Bush and his Israeli counterpart , Yitzhak Shamir , hit a low point when Mr. Bush refused Israel $ 10 billion in loan guarantees to resettle Soviet Jews .",Mr. Bush,Israel,refused
546,"As judges began to recount the ballots in Italy 's tight national elections , Romano Prodi said Wednesday that he expected that the provisional results giving him a narrow victory would stand and that he would replace Silvio Berlusconi as prime minister . ''",Romano Prodi,Wednesday,said
547,"In addition to Sands Point , villages considered a part of greater Port Washington include Baxter Estates , Port Washington North and Manorhaven and a slice of Flower Hill .",Port Washington,Baxter,include
548,"Gerald D. Hines , the real estate company 's chairman and founder , was appointed the first Edward P. Bass Distinguished Visiting Architecture Fellow at Yale and taught the studio class with Stefan Behnisch , a visiting professor from Stuttgart , Germany .",Bass Distinguished,Architecture,Visiting
549,"A1 Cubans Expect Rapid Recovery High-ranking Cuban officials , working hard to put out the message that Cuba is stable after the transfer of power from Fidel Castro to his younger brother , said that Mr. Castro was recovering and that he would be able to return to duty '' in a short time . ''",A1 Cubans,Rapid,Expect
