,Sentence,Entity1,Entity2,relation
450,"In 1909 , less than two decades after Chicago stole New York 's thunder with the Columbian Exposition , the 300th anniversary of Hudson 's voyage up the river was an extravaganza that lasted two weeks .",Chicago,New,stole
451,"In a 2-1 overtime victory by South Korea over Italy in the second round , Moreno awarded South Korea a disputed penalty kick , disallowed an Italian goal and ejected the Italian playmaker Francesco Totti for diving .",Moreno,South,awarded
452,"Less than 24 hours after California lawmakers narrowly passed the country 's first same-sex marriage bill , a spokeswoman for Gov. Arnold Schwarzenegger said Wednesday that he would veto it '' out of respect for the will of the people . ''",Arnold Schwarzenegger,Wednesday,said
453,"The World Trade Organization announced Thursday that it would start talks to admit Iran as a member , a reward for Tehran 's agreement to continue to freeze its nuclear activities .",Trade Organization,Thursday,announced
454,"B3 City 's Surfers Catch a Break A two-jetty stretch of Rockaway Beach in Queens has been officially designated as a surfers-only beach , the first in New York .",Surfers,a,Catch
455,"Among the issues outstanding are Iran 's refusal to allow inspectors access to a site in Tehran called Lavisan-Shian , which was bulldozed by Iran in 2004 before it could be inspected .",Tehran,Lavisan,called
456,"Mr. Kaye said Mr. Soni , who lives in Livingston , N.J. , had raised money for Mr. Weiner 's campaigns for years , mostly from Indian-Americans involved in operating drug stores and newsstands in New York and New Jersey .",Mr. Kaye,Mr.,said
457,"It 's time for Europe to awaken U.S. leadership , '' Foreign Minister Miguel Angel Moratinos of Spain told Reuters .",Spain,Reuters,told
458,"Bowing to rebels in his own Labor Party , Defense Minister Amir Peretz of Israel called Friday for a full independent inquiry into the recent war in Lebanon , changing his previous position and putting him publicly at odds with Prime Minister Ehud Olmert .",Israel,Friday,called
459,"To the Editor : Re '' Bush Cites Gains but Sees No Cuts in Troops in Iraq '' -LRB- front page , Aug. 12 -RRB- : The striking thing about the growing group of supporters standing with Cindy Sheehan , the California woman whose son was killed in Iraq last year , is the speed with which they have gathered in Crawford , Tex. .",Bush,Gains,Cites
460,"Shiite leaders on Friday selected Jawad al-Maliki , one of their more conservative , forceful and outspoken officials , as their nominee for prime minister , opening the door for him to become the leader of Iraq 's first full-term government since the fall of Saddam Hussein .",Friday,Jawad,selected
461,"In a rebuff to the Bush administration 's efforts to press Latin America to take a tougher stance on Cuba and Venezuela , a Chilean Socialist emerged Friday as the consensus choice to become secretary general of the Organization of American States .",Chilean Socialist,Friday,emerged
462,"They do not seek violent retribution for their oppression under Saddam Hussein , when Sunnis dominated Iraq , and they wo n't brook Iranian interference .",Sunnis,Iraq,dominated
463,"You know , we went in to rescue Iraq from Saddam Hussein , '' Mr. Kerry told Condoleezza Rice , Mr. Bush 's nominee for secretary of state , at a confirmation hearing . ''",Mr. Kerry,Condoleezza,told
464,"In the sermon , Mr. Regas , the former rector , imagined Jesus chiding President Bush and his Democratic opponent , Senator John Kerry of Massachusetts , on topics including the war in Iraq , nuclear weapons , poverty and the increasing income gap .",Jesus,President,chiding
465,"Bridgeport 's mayor , John M. Fabrizi , said Mr. Gomes 's priorities for the city , where registered Democrats outnumber Republicans , six to one , coincided with his own . ''",Democrats,Republicans,outnumber
466,"The Bush administration rejects all such arguments as near madness , especially since Mahmoud Ahmadinejad became Iran 's president . ''",Mahmoud Ahmadinejad,Iran,became
467,"That visa was granted under a process called humanitarian parole , after an application to immigration authorities in Washington supported by Jon S. Corzine , then a United States senator from New Jersey , and Sharpe James , then Newark 's mayor .",Washington,Jon,supported
468,Turkey announced Wednesday that it had requested that Iraq extradite two Turkish Islamists suspected of taking part in a 2003 terrorist attack in Istanbul and being held in Abu Ghraib prison .,Turkey,Wednesday,announced
469,"The previous weekend , when the World Cup visited Lake Louise in Alberta , Canada , Miller won the downhill and the super-G .",World Cup,Lake,visited
470,"Whether we went into Iraq because of the declared -LRB- but baseless -RRB- belief that Saddam Hussein possessed W.M.D. 's or to gain access to Iraqi oil , it is clear that the democracy-exporting justification was a Johnny-come-lately rationale for this imperialistic venture .",Saddam Hussein,W.M.D.,possessed
471,"Mr. Mwanawasa likened Mr. Sata 's xenophobia this month to that of Idi Amin , warning crowds that a Sata victory would cause an exodus of investors like the one in Uganda after Mr. Amin 's reign of terror began .",Mr. Mwanawasa,Mr.,likened
472,"PAGE A12 Syria Cuts Links to U.S. In a sign of growing strains , Syria 's ambassador to the United States said Damascus had '' severed all links '' with the American military and the C.I.A. because of what he called unjust American allegations over the insurgency in Iraq .",United States,Damascus,said
473,"PAGE A4 Mets ' Matsui Feels Pressure Kazuo Matsui , one of Japan 's biggest baseball stars before joining the Mets a year and a half ago , is now fighting to keep his job with them .",Matsui,Pressure,Feels
474,"China Posts Second-Highest Trade Surplus Ever China disclosed that its trade surplus surged to $ 11.19 billion in March , its second-highest monthly surplus ever and a level that could feed trade frictions in advance of President Hu Jintao 's visit to the United States .",China,Second,Posts
475,"A10 Taiwan Dissolves China Council President Chen Shui-bian of Taiwan announced that he was scrapping the island 's unification council and guidelines for any political unification with mainland China , defying warnings from both China and the United States .",A10 Taiwan,China,Dissolves
476,"In the Illini 's previous game , a 90-89 overtime victory over Arizona in the regional final in Rosemont , Ill. , Williams limited Salim Stoudamire to 9 points while scoring 22 and adding 10 assists .",Williams,Salim,limited
477,"MODZELEWSKI -- Zygmunt born Roman Berger , 101 , died on November 26 , 2005 , in Manhattan , New York .",Zygmunt,Roman,born
478,"Unlike Mr. Gusmao , who fled to the bush when Indonesia invaded East Timor in 1975 , became the leader of the guerrillas and was captured and imprisoned in Jakarta , Mr. Ramos-Horta spent the Indonesian occupation in exile , speaking out for independence .",Indonesia,East,invaded
479,"Leaving Mussina Behind After the Yankees lost Game 2 of their division series in Anaheim on Wednesday , Joe Torre told Mike Mussina to stay in California .",Yankees,Game,lost
480,"China said Friday that it had formally arrested a Hong Kong-based newspaper correspondent and accused him of spying for Taiwan , the latest in a series of signs that China is tightening controls on news organizations .",China,Friday,said
481,China took Japan and the United States to task for declaring that they would jointly defend Taiwan in case of an attack from the mainland .,China,Japan,took
482,"Or , more precisely , to a tiny part of Maine called Great Cranberry Island , one of several specks off the coast near Mount Desert , where she and her artist-husband , Marvin Bileck , summered and worked for more than 50 years .",Maine,Great,called
483,"At Canon , '' We 've got our TV to hit everyone , '' said Rick Booth , marketing services director for the consumer imaging group at Canon USA in Lake Success , N.Y. He was referring to commercials for PowerShot featuring Ms. Sharapova , created by DCA Advertising in New York , owned by Dentsu .",PowerShot,Ms.,featuring
484,The combination of incentives and demands on North Korea were expected to be the focal point when President Bush met President Hu Jintao of China .,President Bush,President,met
485,Representative Jerrold Nadler accused Mayor Michael R. Bloomberg of focusing too much on the Far West Side of Manhattan rather than downtown . '',Jerrold Nadler,Mayor,accused
486,"WEEK IN REVIEW Stones Play China , Minus a Few Songs The Rolling Stones performed in China for the first time , though five songs , including '' Brown Sugar , '' were banned and the crowd for the concert in Shanghai consisted mainly of Westerners .",REVIEW Stones,China,Play
